is_authentic_no posemo_yes negemo_yes anger_yes power_yes netspeak_yes many_sixltr has_url  role architecture played building destroying syria 
is_tone_yes posemo_yes insight_yes reward_yes has_hashtag  entrepreneurs ways expand broaden benefits interconnection people ges2016 
is_analytic_yes is_tone_yes posemo_yes certain_yes achieve_yes power_yes reward_yes many_sixltr has_hashtag  businesses academia governments play important role removing barriers innovation opportunity ges2016 
is_analytic_yes is_authentic_yes insight_yes netspeak_yes many_sixltr has_photo has_hashtag has_url  barriers bringing ideas global audiences tumbling entrepreneurship ges2016 
is_authentic_no cause_yes affiliation_yes achieve_yes power_yes netspeak_yes many_sixltr low_wps has_photo has_hashtag has_url  entrepreneur place purpose partnerships policy perserverance ges2016 
is_analytic_no is_clout_yes is_authentic_no posemo_yes negemo_yes anx_yes affiliation_yes risk_yes low_wps has_hashtag  advice entrepreneurs partnerships afraid share doing protect share blossom ges2016 
is_clout_yes hear_yes netspeak_yes has_hashtag has_url  hear speak today 45 pm pdt interview sally socent rare individual ges2016 
is_tone_yes posemo_yes cause_yes hear_yes achieve_yes reward_yes netspeak_yes has_hashtag has_url  speaks today 3pm pdt got skoll award skollwf 2016 ges2016 
is_clout_yes is_authentic_yes tentat_yes hear_yes netspeak_yes few_sixltr has_hashtag  conferences ppl lines folks listen forget listen ges2016 
is_analytic_no is_clout_no is_authentic_yes insight_yes cause_yes differ_yes achieve_yes power_yes reward_yes low_wps none  impt levers achieve big change natural private capital let impact define strategy 
is_analytic_no is_clout_yes is_authentic_yes is_tone_no posemo_yes negemo_yes anx_yes insight_yes tentat_yes affiliation_yes risk_yes many_sixltr low_wps has_qmark has_hashtag  question risk comes insurance credit exploring innovate riskmanagement unlock capital ges2016 
is_tone_yes posemo_yes insight_yes affiliation_yes low_wps has_exclam has_hashtag  scaled credit refined model focus build alliances share lessons learned building market ges2016 
is_analytic_yes is_clout_yes is_authentic_no is_tone_no negemo_yes cause_yes discrep_yes affiliation_yes risk_yes many_sixltr low_wps has_exclam has_hashtag  drive scale size problem replication adoption commercial adoption public private partnerships ges2016 
is_clout_yes is_tone_no negemo_yes anx_yes cause_yes affiliation_yes power_yes reward_yes netspeak_yes many_sixltr has_photo has_url  visiting vanilla growers mexico met farmers struggled bc access resources 
is_clout_yes is_authentic_yes insight_yes differ_yes affiliation_yes netspeak_yes low_wps has_photo has_hashtag has_url  introduces distinguished socent guests exploring brought socent path 
is_analytic_no is_clout_no is_authentic_yes insight_yes cause_yes differ_yes has_hashtag  knows matters ges2016 socent 
is_analytic_no is_clout_yes is_authentic_yes insight_yes cause_yes affiliation_yes many_sixltr has_exclam has_hashtag  tonight explore socent provides blueprint change ges2016 
is_authentic_no cause_yes affiliation_yes power_yes many_sixltr low_wps has_qmark has_hashtag  measure impact impinv sdgs help framework ges2016 
is_analytic_yes cause_yes tentat_yes achieve_yes many_sixltr has_hashtag  tools ents use developing markets innovations tools philanthropy ges2016 
is_tone_yes posemo_yes cause_yes differ_yes affiliation_yes achieve_yes reward_yes many_sixltr low_wps has_hashtag  make progress really cross sectors melding biz gov civilsector benefit ges2016 socent 
is_analytic_yes is_authentic_yes is_tone_yes posemo_yes insight_yes cause_yes reward_yes many_sixltr has_exclam has_hashtag  tech companies starting think benefit versions products radhika shah fourth sector ges2016 
is_analytic_no insight_yes cause_yes see_yes achieve_yes reward_yes netspeak_yes has_hashtag  sdgs provide global framework enable ppl impact identify goal connect working ges2016 
is_authentic_yes affiliation_yes low_wps has_hashtag  fourth sector accounts 15 gdp grows jobs 2x fast driving new resources gov philanthropy ges2016 
is_authentic_yes posemo_yes reward_yes netspeak_yes low_wps has_photo has_hashtag has_url  fourth sector benefit enterprise ecosystem growing impinv heerad sabeti ges2016 
is_analytic_yes is_tone_yes posemo_yes tentat_yes affiliation_yes reward_yes netspeak_yes many_sixltr low_wps has_exclam has_photo has_hashtag has_url  blurred lines focusing profit biz focusing social benefits ngo gov fourth sector ges2016 
is_analytic_yes is_authentic_no posemo_yes negemo_yes insight_yes cause_yes discrep_yes certain_yes risk_yes netspeak_yes has_photo has_hashtag has_url  fix systemic problems need make sustainable choices obvious easy people orgs day ges2016 
is_analytic_no is_clout_no is_authentic_yes posemo_yes negemo_yes insight_yes cause_yes discrep_yes differ_yes achieve_yes reward_yes risk_yes many_sixltr low_wps has_qmark has_hashtag  benefit organizations really solving global problems today entrepreneurship ges2016 
is_analytic_yes is_authentic_yes cause_yes affiliation_yes many_sixltr low_wps has_hashtag  peaceworks uses business bring neighbors israel jordan turkey makes desert bloom hires refugees ges2016 
is_tone_yes posemo_yes certain_yes hear_yes reward_yes netspeak_yes many_sixltr has_hashtag has_url  speaking today 4pm pdt skollwf 2013 positive disruption ges2016 
is_analytic_yes is_authentic_no posemo_yes cause_yes discrep_yes see_yes hear_yes affiliation_yes achieve_yes has_hashtag  initiatives usg kenya given platform voice work love collaboration like ges2016 
is_authentic_yes is_tone_no negemo_yes sad_yes insight_yes achieve_yes power_yes risk_yes netspeak_yes many_sixltr has_photo has_hashtag has_url  entrepreneur lessons failing forward hiking kilimanjaro building startup ecosystems youth ent ges2016 
is_analytic_yes is_authentic_yes is_tone_yes posemo_yes insight_yes see_yes affiliation_yes achieve_yes power_yes netspeak_yes many_sixltr has_exclam has_hashtag has_url  looking forward exploring importance socent collaboration governement ges2016 
is_analytic_yes is_authentic_yes insight_yes certain_yes power_yes netspeak_yes has_photo has_hashtag has_url  ideas world entrepreneurs globe ges2016 
is_authentic_no achieve_yes power_yes reward_yes netspeak_yes many_sixltr has_photo has_hashtag has_url  discuss criminaljustice getting people work ges2016 
is_analytic_yes is_tone_yes posemo_yes insight_yes hear_yes affiliation_yes power_yes netspeak_yes has_hashtag has_url  2016 socialprogress index june 28 join thunderclap help share findings 
is_analytic_yes posemo_yes tentat_yes hear_yes achieve_yes power_yes netspeak_yes many_sixltr low_wps has_photo has_hashtag has_url  demand economy quite interesting labor discuss worker voice ges2016 
is_clout_yes is_authentic_no is_tone_yes posemo_yes cause_yes discrep_yes certain_yes achieve_yes power_yes risk_yes many_sixltr low_wps has_hashtag  government role entrepreneurship rule law business formation trusted culture gov enable networks ges2016 
is_analytic_yes is_authentic_no is_tone_yes posemo_yes cause_yes achieve_yes reward_yes netspeak_yes many_sixltr low_wps has_photo has_hashtag has_url  entrepreneurs create companies create better world key building networks ges2016 
is_analytic_no cause_yes hear_yes affiliation_yes achieve_yes netspeak_yes low_wps has_photo has_hashtag has_url  making remarkable progress entrepreneurs helped make giant leaps globe ges2016 
is_authentic_no is_tone_yes posemo_yes cause_yes discrep_yes affiliation_yes achieve_yes many_sixltr has_hashtag  combat violentextremism preserve health planet improve overnance woldwide need entrepreneurs creativity ges2016 
is_analytic_yes is_authentic_yes netspeak_yes many_sixltr low_wps has_exclam has_photo has_hashtag has_url  richard stengel kicks ges2016 opening plenary 700 entrepreneurs 300 investors room 
is_tone_yes posemo_yes cause_yes achieve_yes reward_yes netspeak_yes has_qmark has_hashtag has_url  catch oren yakobovich today won skoll award skollwf 2016 ges2016 
is_analytic_yes is_authentic_no is_tone_yes posemo_yes affiliation_yes netspeak_yes many_sixltr has_exclam has_hashtag has_url  field socents share learnings collaborate endchildmarriage 
is_analytic_no is_clout_yes is_authentic_yes posemo_yes insight_yes tentat_yes affiliation_yes power_yes netspeak_yes few_sixltr has_video has_hashtag has_url  drop sir think job withrefugees 
is_analytic_yes achieve_yes power_yes reward_yes risk_yes netspeak_yes many_sixltr has_exclam has_hashtag has_url  17 yr wait pays declaration promote protect rights indigenous peoples americas 
netspeak_yes many_sixltr high_wps has_hashtag has_url  skoll newsletter today subscribe worldrefugeeday withrefugees 
is_analytic_no posemo_yes cause_yes differ_yes affiliation_yes achieve_yes power_yes netspeak_yes few_sixltr high_wps has_url  dad went leading underground mvmt stocking soup cans ask sympathy pride 
is_authentic_no is_tone_yes posemo_yes see_yes netspeak_yes many_sixltr low_wps has_url  beautiful 
is_analytic_yes is_tone_yes posemo_yes power_yes reward_yes netspeak_yes has_exclam has_url  wow great news adopts new declaration rights indigenous peoples 
is_analytic_no is_tone_yes posemo_yes see_yes many_sixltr has_exclam has_hashtag  happy incredible socents top500ngos list congrats 
is_tone_yes posemo_yes achieve_yes power_yes netspeak_yes has_exclam has_hashtag has_url  wow humbled listed top500ngos 2016 thrilled amazing ngos 
is_authentic_no posemo_yes discrep_yes tentat_yes certain_yes affiliation_yes power_yes reward_yes risk_yes netspeak_yes few_sixltr high_wps has_qmark has_hashtag has_url  want refugee child ed refugee family safe live sign petition 
is_clout_yes is_authentic_no posemo_yes discrep_yes tentat_yes certain_yes affiliation_yes power_yes netspeak_yes few_sixltr has_hashtag has_url  solaf loves puzzles wants doctor missile hit house syria stand withrefugees 
is_analytic_no is_clout_no discrep_yes certain_yes achieve_yes power_yes netspeak_yes has_url  historically law elite fundamental democracy locked away 
is_authentic_no posemo_yes insight_yes discrep_yes certain_yes affiliation_yes netspeak_yes few_sixltr high_wps has_hashtag has_url  bryan stevenson talks need truth reconciliation racism 
is_analytic_no is_clout_yes insight_yes cause_yes hear_yes affiliation_yes netspeak_yes low_wps has_qmark has_hashtag has_url  social medicine health equity drpaulfarmer explains listen 
is_authentic_yes discrep_yes differ_yes reward_yes netspeak_yes has_qmark has_hashtag has_url  happens asylum seekers medical needs germany language gets way socent story 
is_analytic_yes insight_yes cause_yes achieve_yes netspeak_yes high_wps has_hashtag has_url  29 talk global solution climatechange sf 
is_analytic_yes is_authentic_no posemo_yes discrep_yes see_yes affiliation_yes power_yes netspeak_yes few_sixltr high_wps has_url  video bryan stevenson need honest conversation legacy slavery lynching 
is_analytic_yes is_clout_no differ_yes netspeak_yes few_sixltr has_exclam has_hashtag has_url  day vote socap16 sessions vote socent panel alternative pathways scale 
is_analytic_yes insight_yes see_yes netspeak_yes has_hashtag has_url  green health procurement major role contributing sdgs learn act4health 
is_authentic_yes tentat_yes differ_yes power_yes netspeak_yes high_wps has_hashtag has_url  35 india agricultural land cultivated tenant farmers landless small farmers 
is_analytic_yes is_clout_yes is_authentic_no certain_yes affiliation_yes netspeak_yes few_sixltr has_hashtag has_url  socents tell scaling socimp vote panel scale socap2016 
is_analytic_no is_authentic_no insight_yes netspeak_yes many_sixltr has_hashtag has_url  worlddayagainstchildlabor learn socents like doing endchildlabor 
netspeak_yes high_wps has_hashtag has_url  right thing 2016 skollwf panel featuring 
is_analytic_yes is_tone_no negemo_yes sad_yes cause_yes affiliation_yes achieve_yes netspeak_yes many_sixltr high_wps has_hashtag has_url  partners organizations vietnam prosthetic limbs farmers lost limbs landmines 
is_authentic_no see_yes netspeak_yes low_wps has_exclam has_video has_hashtag has_url  tbt highlights year skollwf watch 
is_analytic_yes is_authentic_yes posemo_yes insight_yes achieve_yes power_yes netspeak_yes has_hashtag has_url  blog women leaders skollwf explores rev mpho tutu courage right thing 
is_authentic_no is_tone_yes posemo_yes insight_yes cause_yes see_yes feel_yes netspeak_yes assent_yes many_sixltr low_wps has_exclam has_url  cool helped spark idea affordable eyeglasses 
is_authentic_no is_tone_yes posemo_yes cause_yes tentat_yes power_yes risk_yes netspeak_yes many_sixltr high_wps has_hashtag has_url  important humanrights howto use blurtool protect identities 
is_analytic_yes posemo_yes negemo_yes cause_yes achieve_yes risk_yes netspeak_yes has_hashtag has_url  paddytoplate long difficult journey grain rice stories proud producers myanmar 
is_analytic_yes posemo_yes negemo_yes sad_yes cause_yes hear_yes affiliation_yes power_yes netspeak_yes high_wps has_hashtag has_url  ghana participant shares impact lowering rates forced childmarriage domesticviolence 
is_analytic_yes is_authentic_no cause_yes achieve_yes power_yes netspeak_yes many_sixltr high_wps has_hashtag has_url  powerful commencement bryan stevenson changing socialjustice narrative 
insight_yes cause_yes hear_yes affiliation_yes power_yes netspeak_yes high_wps has_hashtag has_url  1st thing raise awareness health implications attached early forceful marriage 
is_analytic_yes is_authentic_no is_tone_yes posemo_yes achieve_yes reward_yes netspeak_yes many_sixltr has_hashtag has_url  designthinking read paddytoplate challenges opportunities rice ecosystem myanmar 
cause_yes hear_yes netspeak_yes high_wps has_hashtag has_url  weekend listen uses media art combat cultural norms fuel sexualviolence 
is_tone_yes posemo_yes power_yes netspeak_yes has_video has_hashtag has_url  parissummit israeli palestinian peace important note water issues solvable urgent 
is_analytic_no is_authentic_no cause_yes affiliation_yes netspeak_yes assent_yes has_exclam has_qmark has_hashtag has_url  snapchat savvy indian knitting grannies yes changingtherules 
is_authentic_no cause_yes discrep_yes tentat_yes differ_yes affiliation_yes risk_yes netspeak_yes has_hashtag has_url  wanted stop deforestation close frontier monitors logging amazon 
is_tone_yes posemo_yes cause_yes tentat_yes hear_yes power_yes netspeak_yes has_qmark has_hashtag has_url  guess greatest hits list favorite skollwf speakers 12 years 
is_tone_yes posemo_yes affiliation_yes achieve_yes netspeak_yes nonflu_yes few_sixltr low_wps has_exclam has_hashtag has_url  team yemen socent 
is_analytic_yes is_authentic_yes is_tone_yes posemo_yes achieve_yes power_yes reward_yes risk_yes has_hashtag  impt ex socent challenging status quo intervention aid flow syria 
is_analytic_no is_authentic_no is_tone_no negemo_yes anger_yes discrep_yes differ_yes achieve_yes netspeak_yes many_sixltr high_wps has_url  instead treating loggers enemies worked demonstrate logging sustainably 
is_authentic_no posemo_yes cause_yes see_yes affiliation_yes achieve_yes reward_yes netspeak_yes has_hashtag has_url  love socent like partner business achieve real impact scale 
is_analytic_yes is_authentic_yes insight_yes power_yes reward_yes many_sixltr has_hashtag  approach unique identifiers india reached massive scale opensource approach 
is_analytic_no is_clout_no is_tone_yes posemo_yes discrep_yes tentat_yes differ_yes see_yes power_yes low_wps has_exclam has_hashtag  hope companies governments seeing responsibilities needs differently socent comes 
is_authentic_yes differ_yes see_yes affiliation_yes achieve_yes power_yes reward_yes many_sixltr none  seen massive growth inequality stunning achievements scientific research digital revolution 
is_analytic_no is_clout_no is_authentic_yes cause_yes differ_yes feel_yes few_sixltr low_wps has_exclam has_qmark has_hashtag  going heavy going 20 yrs ago climatechange agenda 
is_analytic_no is_clout_yes is_tone_yes posemo_yes cause_yes affiliation_yes reward_yes netspeak_yes many_sixltr has_exclam has_hashtag has_url  loving interview digging deep socent approaches getbeyondbetter 
is_authentic_no power_yes netspeak_yes has_hashtag has_url  report overview consensus developments year national renewableenergy policy forum 
is_analytic_no is_authentic_no posemo_yes netspeak_yes many_sixltr has_hashtag has_url  history rice staple myanmar economy vital rejuvenate empower players 
is_analytic_no insight_yes cause_yes discrep_yes affiliation_yes power_yes netspeak_yes many_sixltr high_wps has_hashtag has_url  origins deforestation research help policymakers make environmentally conscious decisions 
is_tone_yes posemo_yes cause_yes hear_yes low_wps has_exclam has_hashtag  tune interview wellbeing matters socent 30 et 14 30 cet 
is_analytic_yes is_tone_yes posemo_yes discrep_yes netspeak_yes many_sixltr has_hashtag has_url  tmrw check changemakers need personal support wellbeing socen 
is_analytic_yes posemo_yes cause_yes tentat_yes hear_yes netspeak_yes has_hashtag  tune interview 31 30 et 14 30 cet wellbeing matters socent 
is_authentic_yes cause_yes achieve_yes power_yes reward_yes netspeak_yes few_sixltr has_hashtag has_url  weekendread health promoters door door teach health sell basic goods 
is_analytic_yes is_authentic_no posemo_yes negemo_yes anger_yes achieve_yes reward_yes netspeak_yes many_sixltr has_exclam has_hashtag has_url  congrats child10 award fighting childtrafficking socent 
is_authentic_yes is_tone_no negemo_yes anger_yes differ_yes feel_yes affiliation_yes achieve_yes risk_yes few_sixltr low_wps has_hashtag  hard lies ahead way climate crisis concerned momentum shifted ait10 
is_tone_yes posemo_yes insight_yes affiliation_yes achieve_yes netspeak_yes low_wps has_exclam has_photo has_hashtag has_url  happy africaday proud support incredible socents africa explore 
is_analytic_yes is_authentic_yes posemo_yes insight_yes affiliation_yes achieve_yes power_yes netspeak_yes high_wps has_hashtag has_url  connect share knowledge global leaders key stakeholders global health sector act4health 
is_analytic_yes posemo_yes negemo_yes anger_yes cause_yes see_yes power_yes netspeak_yes many_sixltr high_wps has_hashtag has_url  watch story vietnam helping farmers reclaim land remnants war 
is_analytic_yes is_authentic_yes tentat_yes differ_yes hear_yes power_yes netspeak_yes few_sixltr high_wps has_url  listen interview skoll ceo sun 22 6pm et 3pm pacific 970 nyc 
is_analytic_no differ_yes see_yes hear_yes netspeak_yes high_wps has_hashtag has_url  read getbeyondbetter readers saying 
is_analytic_no is_clout_no is_tone_no negemo_yes insight_yes cause_yes discrep_yes tentat_yes differ_yes achieve_yes reward_yes risk_yes netspeak_yes has_hashtag has_url  gets getbeyondbetter public problem solving gov longer primary actor 
is_analytic_no is_clout_yes is_tone_yes posemo_yes cause_yes certain_yes see_yes affiliation_yes netspeak_yes low_wps has_qmark has_hashtag has_url  changes make saw inconvenient truth share truth ait10 
is_tone_no negemo_yes anx_yes cause_yes certain_yes differ_yes achieve_yes power_yes netspeak_yes high_wps has_url  sfcg staffer survived ivory coast terror committed ending violence 
is_analytic_yes is_clout_yes posemo_yes insight_yes affiliation_yes achieve_yes reward_yes netspeak_yes has_hashtag has_url  death design new doc dirty secret digital addiction feat skoll awardee ma jun ipe china 
insight_yes differ_yes see_yes netspeak_yes many_sixltr high_wps has_hashtag has_url  watch lynette walworth storytellers discuss moral imagination skollwf 
is_analytic_yes is_authentic_no posemo_yes negemo_yes anx_yes tentat_yes affiliation_yes achieve_yes netspeak_yes many_sixltr high_wps has_hashtag has_url  storiesofchange potential connect obsessive passions filmmaker social activist 
is_authentic_no is_tone_no negemo_yes cause_yes netspeak_yes many_sixltr low_wps has_qmark has_hashtag has_url  nutrientvaluechains cut healthcare edu agriculture climatechange sustdev 
is_analytic_yes is_authentic_yes is_tone_yes posemo_yes reward_yes netspeak_yes has_qmark has_hashtag has_url  interested climate great read happened recent socent 
is_authentic_no netspeak_yes low_wps has_exclam has_url  congratulations mindy 
is_clout_yes is_authentic_no is_tone_no negemo_yes anger_yes affiliation_yes netspeak_yes has_hashtag has_url  meet women fighting equal landrights socent 
is_analytic_no differ_yes affiliation_yes achieve_yes power_yes netspeak_yes has_qmark has_hashtag has_url  teaming drone bring medicines rwanda asking maintain 
is_authentic_no tentat_yes affiliation_yes netspeak_yes many_sixltr has_exclam has_hashtag has_url  tweet highlights talked socent tiecon2016 
is_clout_no see_yes swear_yes netspeak_yes many_sixltr has_hashtag has_url  london watch documentary bloody money monday tickets storiesofchange 
is_analytic_yes is_clout_yes is_authentic_yes is_tone_yes posemo_yes affiliation_yes achieve_yes reward_yes netspeak_yes few_sixltr has_exclam has_url  love good success story end week congrats new countries week 
is_authentic_no discrep_yes affiliation_yes power_yes netspeak_yes high_wps has_hashtag has_url  loophole shell company rule spur misconduct groups socent 
is_analytic_no is_clout_no is_authentic_yes achieve_yes netspeak_yes low_wps has_exclam has_hashtag has_url  working smallholder farmers malawi uganda expanding farmer goes hungry 
is_analytic_yes cause_yes netspeak_yes many_sixltr has_hashtag has_url  changing taboos transgender people professional sphere changingtherules 
is_analytic_yes is_authentic_yes is_tone_yes posemo_yes insight_yes cause_yes achieve_yes netspeak_yes many_sixltr has_exclam has_hashtag has_url  thrilled launch changingtherules series innovative solutions developing world 
is_analytic_no is_clout_yes is_authentic_no is_tone_no negemo_yes anger_yes insight_yes see_yes power_yes netspeak_yes has_hashtag has_url  ukrainian mother battle medicines hemophiliac daughter storiesofchange 
feel_yes power_yes reward_yes netspeak_yes few_sixltr has_hashtag has_url  hard like live aleppo waiting death syrian doctor 
is_authentic_no posemo_yes discrep_yes see_yes affiliation_yes risk_yes netspeak_yes high_wps has_hashtag has_url  single shared bathtub weighs gaza sewage crisis cholera typhoid cross israel 
is_analytic_yes is_tone_yes posemo_yes insight_yes affiliation_yes netspeak_yes many_sixltr low_wps has_exclam has_hashtag has_url  love potpourri insights skollwf 
is_analytic_yes is_authentic_no netspeak_yes many_sixltr low_wps has_exclam has_url  congrats 
is_clout_no is_authentic_yes posemo_yes see_yes achieve_yes power_yes netspeak_yes has_video has_hashtag has_url  mentor light guiding video challenges new teachers face teachersday 
is_analytic_no is_authentic_no is_tone_no negemo_yes anger_yes insight_yes cause_yes achieve_yes power_yes netspeak_yes none  irony majority ppl tortured bc cheapest form investigation solved resources money 
is_analytic_yes is_authentic_yes insight_yes certain_yes netspeak_yes many_sixltr high_wps has_hashtag has_url  coming skollwf nonprofits learning peer orgs especially pertinent 
is_clout_yes is_authentic_no cause_yes hear_yes affiliation_yes netspeak_yes high_wps has_video has_url  says post wwii social contract broken hear 
is_authentic_no discrep_yes certain_yes affiliation_yes achieve_yes power_yes netspeak_yes has_hashtag has_url  need ambition quicker climate development 
is_analytic_no is_authentic_no cause_yes discrep_yes differ_yes reward_yes netspeak_yes few_sixltr high_wps has_hashtag has_url  poignant story life post nepalearthquake needed aid needed 
is_analytic_yes posemo_yes negemo_yes anger_yes netspeak_yes many_sixltr high_wps has_hashtag has_url  podcast lively interview karen tse ending torture socent skollwf 
is_analytic_yes see_yes achieve_yes power_yes netspeak_yes many_sixltr high_wps has_video has_hashtag has_url  video mary robinson reforming familyplanning law ireland skollwf women leadership 
is_analytic_yes is_authentic_no cause_yes see_yes affiliation_yes power_yes netspeak_yes many_sixltr has_video has_hashtag has_url  video using innovation help refugees skollwf 
is_analytic_yes is_authentic_no is_tone_yes posemo_yes see_yes achieve_yes netspeak_yes many_sixltr has_video has_hashtag has_url  video gives excellent synopsis parisagreement skollwf climate 
cause_yes see_yes hear_yes achieve_yes power_yes netspeak_yes has_qmark has_video has_hashtag has_url  video happening syria refugees leaving hear powerful rescue story 
is_tone_yes posemo_yes insight_yes affiliation_yes power_yes netspeak_yes many_sixltr high_wps has_photo has_hashtag has_url  delegate shares favorite moments skollwf 
is_authentic_no see_yes hear_yes netspeak_yes high_wps has_hashtag has_url  hear video skollwfopening plenary 
is_authentic_no is_tone_no negemo_yes anger_yes cause_yes certain_yes power_yes netspeak_yes many_sixltr has_hashtag has_url  fights humanrights abuses military style precision skollwf 
is_analytic_yes is_tone_no negemo_yes sad_yes insight_yes cause_yes see_yes netspeak_yes high_wps has_hashtag has_url  video talked atmospheric rivers skollwf understand sad news houstonflood 
is_authentic_no is_tone_yes posemo_yes see_yes affiliation_yes netspeak_yes many_sixltr has_hashtag has_url  video journalist shares highlights skollwf 
is_analytic_yes is_clout_no is_authentic_yes posemo_yes negemo_yes anx_yes insight_yes achieve_yes reward_yes netspeak_yes has_hashtag has_url  awardee oren yakobovich describes scariest moment life skollwf 
is_clout_yes is_tone_yes posemo_yes certain_yes see_yes affiliation_yes netspeak_yes has_exclam has_hashtag has_url  thanks joined oxford watch highlights video skollwf fiercecompassion 
is_tone_yes posemo_yes negemo_yes sad_yes see_yes achieve_yes power_yes reward_yes netspeak_yes high_wps has_hashtag has_url  case missed watch awards ceremony awardees honored incredible work skollwf 
is_analytic_no posemo_yes tentat_yes differ_yes affiliation_yes netspeak_yes low_wps has_qmark has_video has_hashtag has_url  fiercecompassion oxymoron possible fierce compassionate dualities skollwf 
is_analytic_yes posemo_yes negemo_yes insight_yes differ_yes achieve_yes reward_yes risk_yes netspeak_yes many_sixltr high_wps has_hashtag has_url  accept awards work prevent violence women skollwf 
is_analytic_yes is_clout_no is_authentic_yes posemo_yes negemo_yes anx_yes insight_yes achieve_yes reward_yes netspeak_yes has_hashtag has_url  awardee oren yakobovich describes scariest moment life skollwf 
is_analytic_yes is_clout_no is_authentic_yes differ_yes see_yes netspeak_yes high_wps has_hashtag has_url  watch post paris new era global sustainability skollwf 
is_analytic_yes is_authentic_yes affiliation_yes achieve_yes power_yes risk_yes netspeak_yes many_sixltr high_wps has_hashtag has_url  powerful performance escaping child marriage closing plenary endchildmarriage skollwf 
is_analytic_yes is_authentic_yes is_tone_yes posemo_yes achieve_yes many_sixltr high_wps has_hashtag  wonderful reception role socent internationaldevelopment ahead ges2016 
is_clout_no is_authentic_yes is_tone_no negemo_yes anger_yes sad_yes achieve_yes power_yes many_sixltr has_hashtag  lost childhood war afghanistan thing happening children world refugees skollwf 
is_analytic_no is_clout_yes is_tone_yes posemo_yes insight_yes discrep_yes affiliation_yes many_sixltr has_hashtag  need support girls believe endchildmarriage skollwf 
is_analytic_no is_clout_no is_authentic_yes insight_yes cause_yes differ_yes affiliation_yes achieve_yes many_sixltr has_hashtag  solution endchildmarriage work families know ways skollwf 
is_analytic_no is_clout_no is_authentic_yes posemo_yes negemo_yes anx_yes see_yes achieve_yes power_yes low_wps has_exclam has_hashtag  future bright worry powerful stuff skollwf 
is_analytic_no is_clout_no is_authentic_yes is_tone_yes posemo_yes insight_yes differ_yes hear_yes feel_yes affiliation_yes achieve_yes power_yes reward_yes high_wps has_hashtag  rap best way share important messages feelings skollwf 
is_analytic_no posemo_yes negemo_yes insight_yes cause_yes certain_yes hear_yes risk_yes has_hashtag  dangerous rapper gov like rap tell truth skollwf 
is_analytic_no is_authentic_yes insight_yes discrep_yes see_yes few_sixltr has_qmark has_hashtag  told close eyes want future believe dreams skollwf 
is_analytic_no is_clout_no is_authentic_yes insight_yes cause_yes discrep_yes tentat_yes differ_yes few_sixltr has_hashtag  role models knew wanted change life make vision skollwf 
is_analytic_no is_authentic_yes insight_yes cause_yes tentat_yes differ_yes many_sixltr low_wps has_hashtag  society won let make different decision endchildmarriage skollwf 
is_analytic_no is_clout_no is_authentic_yes is_tone_no negemo_yes anger_yes differ_yes risk_yes has_hashtag  angry situation society angry mother fault skollwf endchildmarriage 
is_clout_yes is_authentic_no discrep_yes affiliation_yes high_wps has_hashtag  mother needed sell marriage family pay brother wife endchildmarriage skollwf 
is_analytic_no is_clout_yes has_hashtag  papers exist refugees skollwf 
is_analytic_yes cause_yes power_yes many_sixltr has_hashtag  permission use jackson skollwf 
is_analytic_no is_authentic_no affiliation_yes many_sixltr low_wps has_qmark has_hashtag  dream parents michael jackson rihanna skollwf refugees 
is_analytic_no is_authentic_yes insight_yes many_sixltr has_hashtag  learned karate refugee iran skollwf 
is_analytic_no is_clout_no is_authentic_yes posemo_yes discrep_yes differ_yes few_sixltr low_wps has_hashtag  life easy moment wish school dream read refugees skollwf 
is_analytic_no is_clout_yes is_authentic_no discrep_yes power_yes many_sixltr has_hashtag  girls forget dreams age 15 16 raising children endchildmarriage skollwf 
is_analytic_no is_clout_no is_authentic_yes insight_yes cause_yes differ_yes feel_yes power_yes many_sixltr high_wps has_hashtag  interviewing coming idea hard living endchildmarriage skollwf 
is_analytic_yes is_authentic_yes affiliation_yes achieve_yes power_yes many_sixltr has_hashtag  stage delivering powerful message endchildmarriage skollwf 
is_analytic_yes is_clout_yes is_authentic_no is_tone_yes posemo_yes negemo_yes anx_yes reward_yes risk_yes many_sixltr has_hashtag  risks giving academics good stephan chambers skollwf 
is_analytic_no is_clout_yes is_authentic_no is_tone_no negemo_yes anger_yes discrep_yes tentat_yes differ_yes affiliation_yes achieve_yes power_yes few_sixltr has_hashtag  argued simple people human beings able help let skollwf 
is_analytic_no is_authentic_no posemo_yes negemo_yes affiliation_yes high_wps has_hashtag  ways save lives undercut market smugglers refugees skollwf 
is_authentic_yes is_tone_yes posemo_yes insight_yes certain_yes affiliation_yes achieve_yes reward_yes netspeak_yes high_wps has_hashtag  key getting right recognize better economic opportunity comes refugees skollwf 
is_authentic_no insight_yes discrep_yes tentat_yes many_sixltr has_hashtag  syrian refugees face impossible choice skollwf refugees 
certain_yes power_yes many_sixltr has_hashtag  regulatory environment education occupation gender key factors refugees skollwf 
is_authentic_no certain_yes power_yes many_sixltr has_hashtag  basic myths refugees refugees inevitably dependent skollwf refugees 
is_authentic_no many_sixltr has_hashtag  basic myths refugees refugees technologically illiterate skollwf refugees 
is_authentic_no certain_yes many_sixltr high_wps has_hashtag  myths refugees refugees thing farmers example skollwf refugees 
